grid_size,density,parallel,serial,speedup
20,0.05,28.0,5.0,0.17857142857142858
20,0.1,3.0,6.0,2.0
20,0.2,5.0,8.0,1.6
20,0.3,4.0,10.0,2.5
20,0.5,6.0,12.0,2.0
20,0.6,4.0,14.0,3.5
20,0.7,4.0,12.0,3.0
20,0.8,5.0,13.0,2.6
20,0.9,4.0,14.0,3.5
50,0.05,7.0,20.0,2.857142857142857
50,0.1,10.0,34.0,3.4
50,0.2,12.0,51.0,4.25
50,0.3,15.0,60.0,4.0
50,0.5,16.0,71.0,4.4375
50,0.6,16.0,75.0,4.6875
50,0.7,17.0,77.0,4.529411764705882
50,0.8,17.0,80.0,4.705882352941177
50,0.9,18.0,81.0,4.5
100,0.05,17.0,79.0,4.647058823529412
100,0.1,28.0,125.0,4.464285714285714
100,0.2,42.0,191.0,4.5476190476190474
100,0.3,58.0,241.0,4.155172413793103
100,0.5,65.0,310.0,4.769230769230769
100,0.6,70.0,313.0,4.4714285714285715
100,0.7,72.0,328.0,4.555555555555555
100,0.8,81.0,346.0,4.271604938271605
100,0.9,100.0,359.0,3.59
300,0.05,169.0,708.0,4.189349112426036
300,0.1,265.0,1208.0,4.558490566037736
300,0.2,428.0,1842.0,4.303738317757009
300,0.3,551.0,2289.0,4.15426497277677
300,0.5,603.0,2770.0,4.593698175787728
300,0.6,702.0,2924.0,4.165242165242165
300,0.7,704.0,3218.0,4.5710227272727275
300,0.8,728.0,3231.0,4.438186813186813
300,0.9,770.0,3327.0,4.320779220779221
500,0.05,439.0,1991.0,4.5353075170842825
500,0.1,677.0,3282.0,4.847858197932053
500,0.2,1070.0,5049.0,4.718691588785047
500,0.3,1274.0,6150.0,4.827315541601256
500,0.5,1641.0,7772.0,4.736136502132846
500,0.6,1767.0,8430.0,4.770797962648557
500,0.7,1886.0,8513.0,4.513785790031814
500,0.8,1962.0,9326.0,4.753312945973496
500,0.9,2035.0,9485.0,4.660933660933661
